        Phase Fraction  Guess for r  Count
736  0.963867    80/83           83      1
737  0.965820  113/117          117      2
738  0.966797  233/241          241      1
739  0.967285  207/214          214      2
740  0.968750    31/32           32      2
741  0.969238    63/65           65      2
742  0.969727    32/33           33      4
743  0.970215  228/235          235      1
744  0.972168    35/36           36      1
745  0.972656  178/183          183      3
746  0.973633    37/38           38      1
747  0.974121  113/116          116      1
748  0.975098  235/241          241      1
749  0.975586    40/41           41      2
750  0.976074  204/209          209      1
751  0.977539    87/89           89      1
752  0.978516    91/93           93      1
753  0.979004  233/238          238      1
754  0.979492  191/195          195      1
755  0.980957  103/105          105      2
756  0.981445    53/54           54      2
757  0.982910  115/117          117      2
758  0.983398  237/241          241      1
759  0.983887    61/62           62      1
760  0.984863    65/66           66      1
761  0.985352  202/205          205      1
762  0.985840  209/212          212      2
763  0.986816    75/76           76      2
764  0.987305  233/236          236      1
765  0.987793    81/82           82      1
766  0.988281  169/171          171      1
767  0.988770    88/89           89      2
768  0.989746  193/195          195      1
769  0.990234  203/205          205      2
770  0.990723  107/108          108      1
771  0.991211  113/114          114      2
772  0.992188  127/128          128      1
773  0.992676  136/137          137      1
774  0.993164  145/146          146      2
775  0.993652  157/158          158      2
776  0.994141  170/171          171      1
777  0.994629  185/186          186      2
778  0.995117  204/205          205      1
779  0.996094  254/255          255      2
780  0.996582  254/255          255      1
781  0.997559  254/255          255      1
782  0.998047      1/1            1      1
783  0.998535      1/1            1      3
     Guess for r  Guess 1  Guess 2  Sum by Guess  Repetition Count
135          250        1        3             5                 5
83           238        1        3             6                 5
107          244        3        5             6                 5
23           216       15       17             6                 5
72            94        1        3             4                 4
96            76        3        5             5                 4
71            20        3        5             4                 4
70           180        3        5             4                 4
98           186        1        3             5                 4
104          204        3        5             7                 4
69           246        1        3             4                 4
119          194        1        3             6                 4
197          114        1        3             7                 4
194          236        3        5             6                 4
175          170        1        3             8                 4
140          124        3        5             4                 3
138          252        3        5             3                 3
25           102        1        3             5                 3
133          202        1        3             3                 3
27           220        3        5             3                 3
28            68        3        5             3                 3
129          154        1        3             3                 3
126           34        1        3             3                 3
187          116        3        5             3                 3
199          158        1        3             4                 3
117          182        1        3             4                 3
113           50        1        3             3                 3
112          166        1        3             3                 3
31           138        1        3             3                 3
142          228        3        5             5                 3
183          212        3        5             4                 3
20           230        1        3             3                 3
6             54        1        3             6                 3
10           106        1        3             4                 3
167          222        1        3             3                 3
163            6        1        3             2                 2
174            8       15       17             2                 2
13           134        1        3             3                 2
73           196        3        5             3                 2
44            44        3        5             2                 2
154          100        3        5             2                 2
68           254        1        3             2                 2
152          132        3        5             4                 2
9             36        3        5             2                 2
177          110        1        3             4                 2
178          248       15       17             2                 2
79            78        1        3             2                 2
186           38        1        3             3                 2
191           66        1        3             2                 2
195           82        1        3             2                 2
196          108        3        5             2                 2
198          146        1        3             4                 2
56             4        3        5             2                 2
127          118        1        3             2                 2
148          206        1        3             2                 2
115          188        3        5             3                 2
88            70        1        3             4                 2
134          142        1        3             2                 2
120           98        1        3             2                 2
93           234        1        3             2                 2
124          122        1        3             1                 1
52           164        3        5             1                 1
97           178        1        3             1                 1
116          130        1        3             1                 1
38           184       15       17             1                 1
184          214        1        3             2                 1
190           62        1        3             1                 1
90            46        1        3             1                 1
181           18        1        3             1                 1
45            92        3        5             1                 1
102            2        1        3             1                 1
18           174        1        3             1                 1
81           190        1        3             1                 1
156          148        3        5             1                 1
17           172        3        5             2                 1
15           242        1        3             1                 1
82            74        1        3             1                 1
164          232       15       17             2                 1
180           12        3        5             1                 1
85           126        1        3             1                 1
49            30        1        3             2                 1
136          140        3        5             1                 1
169          226        1        3             2                 1
11            28        3        5             1                 1
8            218        1        3             1                 1
125           60        3        5             2                 1
36            84        3        5             1                 1
Correct result: 6 out of 250 (2.40% correct)
      Key  Correct percentage
0  0.0033                 2.4
